Philosopher: 3, Time: 1615 ms, entering hungry state
Philosopher: 3, Time: 1615 ms, picked up fork 3
Philosopher: 3, Time: 1615 ms, picked up fork 0
Philosopher: 3, Time: 1615 ms, entering eating state. Will eat for 39 ms.
Philosopher: 1, Time: 1620 ms, entering thinking state
Philosopher: 1, Time: 1631 ms, entering hungry state
Philosopher: 1, Time: 1631 ms, picked up fork 1
Philosopher: 1, Time: 1631 ms, picked up fork 2
Philosopher: 1, Time: 1631 ms, entering eating state. Will eat for 22 ms.
Philosopher: 1, Time: 1655 ms, entering thinking state
Philosopher: 3, Time: 1655 ms, entering thinking state
Philosopher: 1, Time: 1668 ms, entering hungry state
Philosopher: 3, Time: 1668 ms, entering hungry state
Philosopher: 1, Time: 1668 ms, picked up fork 1
Philosopher: 3, Time: 1668 ms, picked up fork 3
Philosopher: 1, Time: 1668 ms, picked up fork 2
Philosopher: 3, Time: 1668 ms, picked up fork 0
Philosopher: 1, Time: 1668 ms, entering eating state. Will eat for 31 ms.
Philosopher: 3, Time: 1668 ms, entering eating state. Will eat for 37 ms.
Philosopher: 1, Time: 1700 ms, entering thinking state
Philosopher: 3, Time: 1705 ms, entering thinking state
Philosopher: 1, Time: 1710 ms, entering hungry state
Philosopher: 1, Time: 1710 ms, picked up fork 1
Philosopher: 1, Time: 1710 ms, picked up fork 2
Philosopher: 1, Time: 1710 ms, entering eating state. Will eat for 27 ms.
Philosopher: 0, Time: 1716 ms, picked up fork 0
Philosopher: 3, Time: 1717 ms, entering hungry state
Philosopher: 3, Time: 1717 ms, picked up fork 3
Philosopher: 3, Time: 1717 ms, picked up fork 0
Philosopher: 3, Time: 1717 ms, entering eating state. Will eat for 25 ms.
Philosopher: 1, Time: 1738 ms, entering thinking state
Philosopher: 3, Time: 1743 ms, entering thinking state
Philosopher: 1, Time: 1749 ms, entering hungry state
Philosopher: 1, Time: 1749 ms, picked up fork 1
Philosopher: 1, Time: 1749 ms, picked up fork 2
Philosopher: 1, Time: 1749 ms, entering eating state. Will eat for 15 ms.
Philosopher: 3, Time: 1753 ms, entering hungry state
Philosopher: 3, Time: 1753 ms, picked up fork 3
Philosopher: 3, Time: 1753 ms, picked up fork 0
Philosopher: 3, Time: 1753 ms, entering eating state. Will eat for 19 ms.
Philosopher: 1, Time: 1765 ms, entering thinking state
Philosopher: 3, Time: 1774 ms, entering thinking state
Philosopher: 1, Time: 1775 ms, entering hungry state
Philosopher: 1, Time: 1775 ms, picked up fork 1
Philosopher: 1, Time: 1775 ms, picked up fork 2
Philosopher: 1, Time: 1775 ms, entering eating state. Will eat for 39 ms.
Philosopher: 0, Time: 1784 ms, picked up fork 0
Philosopher: 3, Time: 1785 ms, entering hungry state
Philosopher: 3, Time: 1785 ms, picked up fork 3
Philosopher: 3, Time: 1785 ms, picked up fork 0
Philosopher: 3, Time: 1785 ms, entering eating state. Will eat for 22 ms.
Philosopher: 3, Time: 1809 ms, entering thinking state
Philosopher: 1, Time: 1815 ms, entering thinking state
Philosopher: 3, Time: 1821 ms, entering hungry state
Philosopher: 3, Time: 1821 ms, picked up fork 3
Philosopher: 3, Time: 1821 ms, picked up fork 0
Philosopher: 3, Time: 1821 ms, entering eating state. Will eat for 11 ms.
Philosopher: 1, Time: 1825 ms, entering hungry state
Philosopher: 1, Time: 1825 ms, picked up fork 1
Philosopher: 1, Time: 1825 ms, picked up fork 2
Philosopher: 1, Time: 1825 ms, entering eating state. Will eat for 32 ms.
Philosopher: 3, Time: 1834 ms, entering thinking state
Philosopher: 3, Time: 1845 ms, entering hungry state
Philosopher: 3, Time: 1845 ms, picked up fork 3
Philosopher: 3, Time: 1845 ms, picked up fork 0
Philosopher: 3, Time: 1845 ms, entering eating state. Will eat for 36 ms.
